Mu_M,Mu_C,Stable,dB_Reduction,Recovery_MSE,Peak
0.019306977288832496,0.01389495494373136,False,-99.0,999.0,162.25561512559875
0.019306977288832496,0.03727593720314938,False,-99.0,999.0,2297.331797899975
0.019306977288832496,0.1,False,-99.0,999.0,2503.823811402252
0.03727593720314938,1e-07,True,-0.0013708395680906266,0.13086379562292771,0.6857094728411516
0.03727593720314938,2.6826957952797275e-07,True,0.0038996500838083623,0.13091295304770878,0.7013053439893582
0.03727593720314938,7.196856730011514e-07,True,0.017905837013996704,0.1307765565188211,0.7039957096974268
0.03727593720314938,1.9306977288832498e-06,True,0.11079881040262013,0.12936581738839004,0.6686915863082437
0.03727593720314938,5.179474679231212e-06,True,0.23438342226852063,0.1262592699902611,0.6815710152791492
0.03727593720314938,1.389495494373136e-05,True,-0.012102900433073745,0.14961590899996116,0.798079638255963
0.03727593720314938,3.727593720314938e-05,True,-0.5001220445153817,0.13898928975463506,1.0431922917509522
0.03727593720314938,0.0001,True,-0.26161458649045033,0.16349335236018242,1.2551916150951978
0.03727593720314938,0.00026826957952797245,False,-99.0,999.0,3.0759893977178825
0.03727593720314938,0.0007196856730011514,False,-99.0,999.0,7.7091065836390245
0.03727593720314938,0.0019306977288832496,False,-99.0,999.0,40.12071075308939
0.03727593720314938,0.005179474679231213,False,-99.0,999.0,74.66414749084662
0.03727593720314938,0.01389495494373136,False,-99.0,999.0,164.410112931959
0.03727593720314938,0.03727593720314938,False,-99.0,999.0,1799.5595824735938
0.03727593720314938,0.1,False,-99.0,999.0,7417.052034703539
0.07196856730011514,1e-07,True,0.0010372349340411233,0.1308376872162409,0.6883419357063375
0.07196856730011514,2.6826957952797275e-07,True,-0.0037075047520705416,0.13084298589567087,0.6786382151385411
0.07196856730011514,7.196856730011514e-07,True,0.00025011977770450993,0.13078488811612068,0.6950096647344122
0.07196856730011514,1.9306977288832498e-06,True,-0.0657320073892385,0.13173329124763203,0.6861972935498245
0.07196856730011514,5.179474679231212e-06,True,0.055655640321384856,0.13184992119534367,0.6864688221206091
0.07196856730011514,1.389495494373136e-05,True,-0.3668703191160288,0.13403094932477527,0.7071462130762589
0.07196856730011514,3.727593720314938e-05,True,-0.3075057432743094,0.14665212099584932,0.9071348710488417
0.07196856730011514,0.0001,True,0.14820828848775264,0.1540832077422071,1.0223910946052752
