Taps,Mu_M,Mu_C,Median_MSE,Stability
128,0.026826957952797246,0.001,2.6013379323769903,FAIL
128,0.0517947467923121,1e-06,0.13289319704747857,PASS
128,0.0517947467923121,2.6826957952797274e-06,0.1325359076742555,PASS
128,0.0517947467923121,7.196856730011514e-06,0.13886201681331733,PASS
128,0.0517947467923121,1.9306977288832496e-05,0.1687618803607404,PASS
128,0.0517947467923121,5.1794746792312125e-05,0.3122750588741688,PASS
128,0.0517947467923121,0.00013894954943731373,0.3667002505582707,PASS
128,0.0517947467923121,0.0003727593720314938,0.9116256105977285,FAIL
128,0.0517947467923121,0.001,1.6536933885066611,FAIL
128,0.1,1e-06,0.13262490290264767,PASS
128,0.1,2.6826957952797274e-06,0.1344063716899259,PASS
128,0.1,7.196856730011514e-06,0.1359098573026693,PASS
128,0.1,1.9306977288832496e-05,0.12982302360353987,PASS
128,0.1,5.1794746792312125e-05,0.2273670825312965,PASS
128,0.1,0.00013894954943731373,0.42564819973892154,PASS
128,0.1,0.0003727593720314938,11.194149274789822,FAIL
128,0.1,0.001,2.2987362499814195,FAIL
256,0.001,1e-06,0.13238496453382792,PASS
256,0.001,2.6826957952797274e-06,0.13346280901873414,PASS
256,0.001,7.196856730011514e-06,0.13723341134167186,PASS
256,0.001,1.9306977288832496e-05,0.14168590109232182,PASS
256,0.001,5.1794746792312125e-05,0.15283020583686924,PASS
256,0.001,0.00013894954943731373,2.596815879519293,FAIL
256,0.001,0.0003727593720314938,999.0,FAIL
256,0.001,0.001,499.6446306049635,FAIL
256,0.0019306977288832496,1e-06,0.13265102239561755,PASS
256,0.0019306977288832496,2.6826957952797274e-06,0.1346885882173232,PASS
256,0.0019306977288832496,7.196856730011514e-06,0.14340546646251023,PASS
256,0.0019306977288832496,1.9306977288832496e-05,0.19904802010809253,PASS
256,0.0019306977288832496,5.1794746792312125e-05,0.2711762537617308,PASS
256,0.0019306977288832496,0.00013894954943731373,6.543336649157961,FAIL
256,0.0019306977288832496,0.0003727593720314938,999.0,FAIL
256,0.0019306977288832496,0.001,999.0,FAIL
256,0.003727593720314938,1e-06,0.13443892565699764,PASS
256,0.003727593720314938,2.6826957952797274e-06,0.13886901850051922,PASS
256,0.003727593720314938,7.196856730011514e-06,0.14777085676107865,PASS
256,0.003727593720314938,1.9306977288832496e-05,0.24550684975896145,PASS
256,0.003727593720314938,5.1794746792312125e-05,1.0636727766996856,FAIL
256,0.003727593720314938,0.00013894954943731373,6.112000945138265,FAIL
256,0.003727593720314938,0.0003727593720314938,999.0,FAIL
256,0.003727593720314938,0.001,999.0,FAIL
256,0.0071968567300115215,1e-06,0.13327618784007722,PASS
256,0.0071968567300115215,2.6826957952797274e-06,0.13988434910131936,PASS
256,0.0071968567300115215,7.196856730011514e-06,0.15064669951929305,PASS
256,0.0071968567300115215,1.9306977288832496e-05,0.29807473791912015,PASS
256,0.0071968567300115215,5.1794746792312125e-05,2.712231258334341,FAIL
256,0.0071968567300115215,0.00013894954943731373,505.6185694674463,FAIL
256,0.0071968567300115215,0.0003727593720314938,518.9545091108512,FAIL
256,0.0071968567300115215,0.001,2.3965123850408703,FAIL
256,0.013894954943731374,1e-06,0.13373180239889781,PASS
256,0.013894954943731374,2.6826957952797274e-06,0.13347981411638543,PASS
256,0.013894954943731374,7.196856730011514e-06,0.1642036619089033,PASS
256,0.013894954943731374,1.9306977288832496e-05,0.20828803868418022,PASS
256,0.013894954943731374,5.1794746792312125e-05,0.4145919788452187,PASS
256,0.013894954943731374,0.00013894954943731373,12.374230980502857,FAIL
256,0.013894954943731374,0.0003727593720314938,501.6881780488417,FAIL
256,0.013894954943731374,0.001,509.43172489839407,FAIL
256,0.026826957952797246,1e-06,0.13285477959085357,PASS
256,0.026826957952797246,2.6826957952797274e-06,0.1352365874140523,PASS
256,0.026826957952797246,7.196856730011514e-06,0.14737320654361258,PASS
256,0.026826957952797246,1.9306977288832496e-05,0.18860617077716121,PASS
256,0.026826957952797246,5.1794746792312125e-05,0.34964115612121804,PASS
256,0.026826957952797246,0.00013894954943731373,5.519177736284742,FAIL
256,0.026826957952797246,0.0003727593720314938,999.0,FAIL
256,0.026826957952797246,0.001,0.7913937939430238,FAIL
256,0.0517947467923121,1e-06,0.13209377271232922,PASS
256,0.0517947467923121,2.6826957952797274e-06,0.13466998694974558,PASS
256,0.0517947467923121,7.196856730011514e-06,0.14165281493903512,PASS
256,0.0517947467923121,1.9306977288832496e-05,0.1879893927018672,PASS
256,0.0517947467923121,5.1794746792312125e-05,0.21906715838290616,PASS
256,0.0517947467923121,0.00013894954943731373,0.9281527827561682,FAIL
256,0.0517947467923121,0.0003727593720314938,3.5925424987385775,FAIL
256,0.0517947467923121,0.001,499.894320721788,FAIL
256,0.1,1e-06,0.1319726487496629,PASS
256,0.1,2.6826957952797274e-06,0.1321908124969675,PASS
256,0.1,7.196856730011514e-06,0.13464582677869807,PASS
256,0.1,1.9306977288832496e-05,0.15932784650753345,PASS
256,0.1,5.1794746792312125e-05,0.22315116999047668,PASS
256,0.1,0.00013894954943731373,0.23490518638430888,PASS
256,0.1,0.0003727593720314938,0.5458882375749223,PASS
256,0.1,0.001,999.0,FAIL
