Mu_M,Mu_C,Reduction_dB,Stability,Convergence_Delay,Score
0.005994842503189409,1e-07,-0.00407656734950855,STABLE,0,-0.00407656734950855
0.005994842503189409,4.641588833612782e-07,-0.03374381995719668,STABLE,0,-0.03374381995719668
0.005994842503189409,2.1544346900318822e-06,0.1623677411338742,STABLE,0,0.1623677411338742
0.005994842503189409,9.999999999999999e-06,-0.7858937225529314,STABLE,0,-0.7858937225529314
0.005994842503189409,4.641588833612772e-05,-99.0,BROKEN,3,-100
0.005994842503189409,0.00021544346900318823,-99.0,BROKEN,1,-100
0.005994842503189409,0.001,-99.0,BROKEN,4835,-100
0.005994842503189409,0.004641588833612773,-99.0,BROKEN,6,-100
0.005994842503189409,0.021544346900318822,-99.0,BROKEN,5,-100
0.005994842503189409,0.1,-99.0,BROKEN,0,-100
0.016681005372000592,1e-07,-0.0019602570958816407,STABLE,0,-0.0019602570958816407
0.016681005372000592,4.641588833612782e-07,0.021329279103071076,STABLE,0,0.021329279103071076
0.016681005372000592,2.1544346900318822e-06,0.03644466576472011,STABLE,0,0.03644466576472011
0.016681005372000592,9.999999999999999e-06,-0.00037586785390240766,STABLE,0,-0.00037586785390240766
0.016681005372000592,4.641588833612772e-05,-3.8313379798073055,STABLE,2,-3.8333379798073053
0.016681005372000592,0.00021544346900318823,-99.0,BROKEN,24,-100
0.016681005372000592,0.001,-99.0,BROKEN,2,-100
0.016681005372000592,0.004641588833612773,-99.0,BROKEN,0,-100
0.016681005372000592,0.021544346900318822,-99.0,BROKEN,24,-100
0.016681005372000592,0.1,-99.0,BROKEN,8,-100
0.046415888336127774,1e-07,0.0003504248323334005,STABLE,0,0.0003504248323334005
0.046415888336127774,4.641588833612782e-07,-0.012229293034347317,STABLE,0,-0.012229293034347317
0.046415888336127774,2.1544346900318822e-06,-0.029204731018180243,STABLE,0,-0.029204731018180243
0.046415888336127774,9.999999999999999e-06,0.23034404700812616,STABLE,0,0.23034404700812616
0.046415888336127774,4.641588833612772e-05,-1.9488724370916597,STABLE,0,-1.9488724370916597
0.046415888336127774,0.00021544346900318823,-99.0,BROKEN,0,-100
0.046415888336127774,0.001,-99.0,BROKEN,1,-100
0.046415888336127774,0.004641588833612773,-99.0,BROKEN,1,-100
0.046415888336127774,0.021544346900318822,-99.0,BROKEN,7,-100
0.046415888336127774,0.1,-99.0,BROKEN,5,-100
0.12915496650148828,1e-07,0.0008660806821269029,STABLE,0,0.0008660806821269029
0.12915496650148828,4.641588833612782e-07,-9.070448537126196e-05,STABLE,0,-9.070448537126196e-05
0.12915496650148828,2.1544346900318822e-06,0.007340112143527851,STABLE,0,0.007340112143527851
0.12915496650148828,9.999999999999999e-06,-0.035291537899365254,STABLE,0,-0.035291537899365254
0.12915496650148828,4.641588833612772e-05,0.4227106779503464,STABLE,0,0.4227106779503464
0.12915496650148828,0.00021544346900318823,-0.42258669259377846,STABLE,0,-0.42258669259377846
0.12915496650148828,0.001,-99.0,BROKEN,24,-100
0.12915496650148828,0.004641588833612773,-99.0,BROKEN,1,-100
0.12915496650148828,0.021544346900318822,-99.0,BROKEN,3,-100
0.12915496650148828,0.1,-99.0,BROKEN,364,-100
0.3593813663804626,1e-07,0.00046641990375362666,STABLE,0,0.00046641990375362666
