Taps,Mu_M,Mu_C,Steady_State_MSE,Stability
64,0.005179474679231213,0.00021544346900318823,0.17948738970738518,PASS
64,0.005179474679231213,0.00046415888336127773,0.363572572922498,FAIL
64,0.005179474679231213,0.001,0.5601739777376865,FAIL
64,0.013894954943731374,1e-06,0.13220743392397677,PASS
64,0.013894954943731374,2.1544346900318822e-06,0.1324364897730851,PASS
64,0.013894954943731374,4.641588833612782e-06,0.13349465868955493,PASS
64,0.013894954943731374,9.999999999999999e-06,0.13706315215024012,PASS
64,0.013894954943731374,2.1544346900318823e-05,0.14105169374391224,PASS
64,0.013894954943731374,4.641588833612772e-05,0.1620600890373135,PASS
64,0.013894954943731374,0.0001,0.18827602913822805,PASS
64,0.013894954943731374,0.00021544346900318823,0.3012486948271561,FAIL
64,0.013894954943731374,0.00046415888336127773,0.5403400428437045,FAIL
64,0.013894954943731374,0.001,10.185794776456293,FAIL
64,0.03727593720314938,1e-06,0.13234517923375555,PASS
64,0.03727593720314938,2.1544346900318822e-06,0.1330538179332647,PASS
64,0.03727593720314938,4.641588833612782e-06,0.1366910055647972,PASS
64,0.03727593720314938,9.999999999999999e-06,0.14300623998985848,PASS
64,0.03727593720314938,2.1544346900318823e-05,0.14604671772384287,PASS
64,0.03727593720314938,4.641588833612772e-05,0.182501412693354,PASS
64,0.03727593720314938,0.0001,0.3438540866362376,FAIL
64,0.03727593720314938,0.00021544346900318823,2.013415009099034,FAIL
64,0.03727593720314938,0.00046415888336127773,1.8463550061580563,FAIL
64,0.03727593720314938,0.001,0.2646573336062163,PASS
64,0.1,1e-06,0.1328344691391229,PASS
64,0.1,2.1544346900318822e-06,0.13517779129899268,PASS
64,0.1,4.641588833612782e-06,0.1365320338843279,PASS
64,0.1,9.999999999999999e-06,0.1536564162640271,PASS
64,0.1,2.1544346900318823e-05,0.17033269725445868,PASS
64,0.1,4.641588833612772e-05,0.27947241259538264,PASS
64,0.1,0.0001,0.6333320284604295,FAIL
64,0.1,0.00021544346900318823,10.107980769575843,FAIL
64,0.1,0.00046415888336127773,0.7873465584173334,FAIL
64,0.1,0.001,1.877993622330075,FAIL
128,0.0001,1e-06,0.13198045641239017,PASS
128,0.0001,2.1544346900318822e-06,0.13141973217508415,PASS
128,0.0001,4.641588833612782e-06,0.13165688981566706,PASS
128,0.0001,9.999999999999999e-06,0.13140465380063165,PASS
128,0.0001,2.1544346900318823e-05,0.13152635899690568,PASS
128,0.0001,4.641588833612772e-05,0.1321109059258145,PASS
128,0.0001,0.0001,0.1315793992634411,PASS
128,0.0001,0.00021544346900318823,0.1324182341607066,PASS
128,0.0001,0.00046415888336127773,0.13304184665154606,PASS
128,0.0001,0.001,0.13611109310843086,PASS
128,0.00026826957952797245,1e-06,0.13200762064592417,PASS
128,0.00026826957952797245,2.1544346900318822e-06,0.13175162726014158,PASS
128,0.00026826957952797245,4.641588833612782e-06,0.1317956633931766,PASS
128,0.00026826957952797245,9.999999999999999e-06,0.13169323483567855,PASS
128,0.00026826957952797245,2.1544346900318823e-05,0.1316460701411325,PASS
128,0.00026826957952797245,4.641588833612772e-05,0.1322289192448451,PASS
128,0.00026826957952797245,0.0001,0.13282431623920482,PASS
128,0.00026826957952797245,0.00021544346900318823,0.13359405665609045,PASS
128,0.00026826957952797245,0.00046415888336127773,0.13658575334450157,PASS
128,0.00026826957952797245,0.001,0.13721151732759182,PASS
128,0.0007196856730011522,1e-06,0.13185480647356324,PASS
128,0.0007196856730011522,2.1544346900318822e-06,0.13154677180290966,PASS
