Mu_M,Mu_C,Median_MSE,Std_Dev,Stability
0.008111308307896872,1e-07,0.13108058909505785,0.0003256975516657918,PASS
0.008111308307896872,2.310129700083158e-07,0.1302255065275793,0.0009319171717801112,PASS
0.008111308307896872,5.336699231206313e-07,0.1308306788560445,0.001835381440560386,PASS
0.008111308307896872,1.232846739442066e-06,0.12735961132475154,0.003077952471188385,PASS
0.008111308307896872,2.848035868435805e-06,0.11753476625626623,0.004877305791521863,PASS
0.008111308307896872,6.579332246575683e-06,0.1284735326274926,0.023775557035784305,PASS
0.008111308307896872,1.5199110829529332e-05,0.10375959559460718,0.032598790995912286,PASS
0.008111308307896872,3.511191734215127e-05,0.42020945159146095,0.32512273725738505,PASS
0.008111308307896872,8.111308307896872e-05,7.51352773915132,4.460817615166508,FAIL
0.008111308307896872,0.0001873817422860385,3.856134315211815,227.02022392386024,FAIL
0.008111308307896872,0.00043287612810830614,5.548487204377378,38.563562030605894,FAIL
0.008111308307896872,0.001,111.16445494557038,428.26214711750913,FAIL
0.01519911082952933,1e-07,0.13136002701914512,0.00036285378010481273,PASS
0.01519911082952933,2.310129700083158e-07,0.13074912299866837,0.0012620561348172835,PASS
0.01519911082952933,5.336699231206313e-07,0.1296203968604063,0.0010368642175500216,PASS
0.01519911082952933,1.232846739442066e-06,0.12665089560910014,0.001344572919770041,PASS
0.01519911082952933,2.848035868435805e-06,0.11864591915389479,0.003167708173500946,PASS
0.01519911082952933,6.579332246575683e-06,0.11118414105293159,0.011538734409685445,PASS
0.01519911082952933,1.5199110829529332e-05,0.12754577692620525,0.012129439135556483,PASS
0.01519911082952933,3.511191734215127e-05,0.3851978464275928,0.3013672851303813,PASS
0.01519911082952933,8.111308307896872e-05,1.5952654184544413,4.043876188902504,FAIL
0.01519911082952933,0.0001873817422860385,13.65017513851147,10.506176773894035,FAIL
0.01519911082952933,0.00043287612810830614,63.248268844919366,104.05788464234277,FAIL
0.01519911082952933,0.001,24.693785460453707,464.46471227166694,FAIL
0.02848035868435799,1e-07,0.1315608100073281,3.498261817339794e-05,PASS
0.02848035868435799,2.310129700083158e-07,0.13089517444602228,0.0007172811793786802,PASS
0.02848035868435799,5.336699231206313e-07,0.13007529448555416,0.0004341197848858163,PASS
0.02848035868435799,1.232846739442066e-06,0.13269430165067297,0.0026150674946176554,PASS
0.02848035868435799,2.848035868435805e-06,0.12321235863371206,0.0017013948172004284,PASS
0.02848035868435799,6.579332246575683e-06,0.13411359998661293,0.018534219103445684,PASS
0.02848035868435799,1.5199110829529332e-05,0.11606393345632302,0.0020395115886836933,PASS
0.02848035868435799,3.511191734215127e-05,0.12924367548081533,0.05450230712243689,PASS
0.02848035868435799,8.111308307896872e-05,1.946203691904947,1.4896791262600884,FAIL
0.02848035868435799,0.0001873817422860385,25.76553721289385,21.19466846192046,FAIL
0.02848035868435799,0.00043287612810830614,34.81878225741786,85.41865132858173,FAIL
0.02848035868435799,0.001,212.68861388518394,429.2781209587939,FAIL
0.05336699231206307,1e-07,0.13156081985863283,0.00013994009341039494,PASS
0.05336699231206307,2.310129700083158e-07,0.13144719752260198,0.00010040983930855772,PASS
0.05336699231206307,5.336699231206313e-07,0.13144036558278124,0.0007469667424908253,PASS
0.05336699231206307,1.232846739442066e-06,0.12862767667212605,0.000694023608039785,PASS
0.05336699231206307,2.848035868435805e-06,0.12794185266712582,0.0016784873716271765,PASS
0.05336699231206307,6.579332246575683e-06,0.12206137051588362,0.013475307681367297,PASS
0.05336699231206307,1.5199110829529332e-05,0.1135597583330686,0.002717984338389398,PASS
0.05336699231206307,3.511191734215127e-05,0.12387866646561037,0.016544085677761958,PASS
0.05336699231206307,8.111308307896872e-05,0.6036196817414243,0.3333189904544532,FAIL
0.05336699231206307,0.0001873817422860385,1.1106243756348666,0.7491753087758388,FAIL
0.05336699231206307,0.00043287612810830614,1.8034157015165582,3.748010937945069,FAIL
0.05336699231206307,0.001,1.4773924016077595,4.654038017753489,FAIL
0.1,1e-07,0.13180534087659845,6.300642528768448e-05,PASS
0.1,2.310129700083158e-07,0.1315821215960602,0.00030009570042646423,PASS
0.1,5.336699231206313e-07,0.13137511711701852,0.0008419165493538433,PASS
0.1,1.232846739442066e-06,0.13038411591101395,0.001228451880769352,PASS
0.1,2.848035868435805e-06,0.12886454234345962,0.0016468671530972259,PASS
0.1,6.579332246575683e-06,0.12932872767711945,0.0014272532255415287,PASS
0.1,1.5199110829529332e-05,0.11721379377294233,0.029290259822961354,PASS
0.1,3.511191734215127e-05,0.11617050476235614,0.005192814045188916,PASS
0.1,8.111308307896872e-05,0.19594853568259846,0.11763086366689997,PASS
0.1,0.0001873817422860385,0.29595435727153535,0.1852984437697919,PASS
0.1,0.00043287612810830614,2.4733943772421387,11.25751730571831,FAIL
0.1,0.001,2.275884503686666,35.716232325257806,FAIL
